split_version,dataset_id,participant_id,fold_id
kfall_external_5fold_v1,kfall,kfall:sa06,2
kfall_external_5fold_v1,kfall,kfall:sa07,0
kfall_external_5fold_v1,kfall,kfall:sa08,3
kfall_external_5fold_v1,kfall,kfall:sa09,1
kfall_external_5fold_v1,kfall,kfall:sa10,2
kfall_external_5fold_v1,kfall,kfall:sa11,0
kfall_external_5fold_v1,kfall,kfall:sa12,1
kfall_external_5fold_v1,kfall,kfall:sa13,0
kfall_external_5fold_v1,kfall,kfall:sa14,2
kfall_external_5fold_v1,kfall,kfall:sa15,2
kfall_external_5fold_v1,kfall,kfall:sa16,2
kfall_external_5fold_v1,kfall,kfall:sa17,2
kfall_external_5fold_v1,kfall,kfall:sa18,1
kfall_external_5fold_v1,kfall,kfall:sa19,4
kfall_external_5fold_v1,kfall,kfall:sa20,4
kfall_external_5fold_v1,kfall,kfall:sa21,1
kfall_external_5fold_v1,kfall,kfall:sa22,3
kfall_external_5fold_v1,kfall,kfall:sa23,3
kfall_external_5fold_v1,kfall,kfall:sa24,3
kfall_external_5fold_v1,kfall,kfall:sa25,3
kfall_external_5fold_v1,kfall,kfall:sa26,0
kfall_external_5fold_v1,kfall,kfall:sa27,0
kfall_external_5fold_v1,kfall,kfall:sa28,0
kfall_external_5fold_v1,kfall,kfall:sa29,4
kfall_external_5fold_v1,kfall,kfall:sa30,1
kfall_external_5fold_v1,kfall,kfall:sa31,4
kfall_external_5fold_v1,kfall,kfall:sa32,4
kfall_external_5fold_v1,kfall,kfall:sa33,4
kfall_external_5fold_v1,kfall,kfall:sa35,1
kfall_external_5fold_v1,kfall,kfall:sa36,3
kfall_external_5fold_v1,kfall,kfall:sa37,0
kfall_external_5fold_v1,kfall,kfall:sa38,1
