split_version,dataset_id,participant_id,fold_id
participant_5fold_v4,cgu_bes,cgu_bes:subject_01,0
participant_5fold_v4,cgu_bes,cgu_bes:subject_02,0
participant_5fold_v4,cgu_bes,cgu_bes:subject_03,0
participant_5fold_v4,cgu_bes,cgu_bes:subject_04,1
participant_5fold_v4,cgu_bes,cgu_bes:subject_05,1
participant_5fold_v4,cgu_bes,cgu_bes:subject_06,1
participant_5fold_v4,cgu_bes,cgu_bes:subject_07,2
participant_5fold_v4,cgu_bes,cgu_bes:subject_08,2
participant_5fold_v4,cgu_bes,cgu_bes:subject_09,2
participant_5fold_v4,cgu_bes,cgu_bes:subject_10,3
participant_5fold_v4,cgu_bes,cgu_bes:subject_11,3
participant_5fold_v4,cgu_bes,cgu_bes:subject_12,3
participant_5fold_v4,cgu_bes,cgu_bes:subject_13,4
participant_5fold_v4,cgu_bes,cgu_bes:subject_14,4
participant_5fold_v4,cgu_bes,cgu_bes:subject_15,4
participant_5fold_v4,ipqm_fall,ipqm_fall:id_01,3
participant_5fold_v4,ipqm_fall,ipqm_fall:id_02,1
participant_5fold_v4,ipqm_fall,ipqm_fall:id_03,3
participant_5fold_v4,ipqm_fall,ipqm_fall:id_04,2
participant_5fold_v4,ipqm_fall,ipqm_fall:id_05,3
participant_5fold_v4,ipqm_fall,ipqm_fall:id_06,4
participant_5fold_v4,ipqm_fall,ipqm_fall:id_07,2
participant_5fold_v4,ipqm_fall,ipqm_fall:id_08,2
participant_5fold_v4,ipqm_fall,ipqm_fall:id_09,1
participant_5fold_v4,ipqm_fall,ipqm_fall:id_10,0
participant_5fold_v4,ipqm_fall,ipqm_fall:id_11,4
participant_5fold_v4,ipqm_fall,ipqm_fall:id_12,0
participant_5fold_v4,ipqm_fall,ipqm_fall:id_13,1
participant_5fold_v4,ipqm_fall,ipqm_fall:id_14,0
participant_5fold_v4,ipqm_fall,ipqm_fall:id_15,4
participant_5fold_v4,kfall,kfall:sa06,2
participant_5fold_v4,kfall,kfall:sa07,0
participant_5fold_v4,kfall,kfall:sa08,3
participant_5fold_v4,kfall,kfall:sa09,1
participant_5fold_v4,kfall,kfall:sa10,2
participant_5fold_v4,kfall,kfall:sa11,0
participant_5fold_v4,kfall,kfall:sa12,1
participant_5fold_v4,kfall,kfall:sa13,0
participant_5fold_v4,kfall,kfall:sa14,2
participant_5fold_v4,kfall,kfall:sa15,2
participant_5fold_v4,kfall,kfall:sa16,2
participant_5fold_v4,kfall,kfall:sa17,2
participant_5fold_v4,kfall,kfall:sa18,1
participant_5fold_v4,kfall,kfall:sa19,4
participant_5fold_v4,kfall,kfall:sa20,4
participant_5fold_v4,kfall,kfall:sa21,1
participant_5fold_v4,kfall,kfall:sa22,3
participant_5fold_v4,kfall,kfall:sa23,3
participant_5fold_v4,kfall,kfall:sa24,3
participant_5fold_v4,kfall,kfall:sa25,3
participant_5fold_v4,kfall,kfall:sa26,0
participant_5fold_v4,kfall,kfall:sa27,0
participant_5fold_v4,kfall,kfall:sa28,0
participant_5fold_v4,kfall,kfall:sa29,4
participant_5fold_v4,kfall,kfall:sa30,1
participant_5fold_v4,kfall,kfall:sa31,4
participant_5fold_v4,kfall,kfall:sa32,4
participant_5fold_v4,kfall,kfall:sa33,4
participant_5fold_v4,kfall,kfall:sa35,1
participant_5fold_v4,kfall,kfall:sa36,3
participant_5fold_v4,kfall,kfall:sa37,0
participant_5fold_v4,kfall,kfall:sa38,1
participant_5fold_v4,sfu_ipml,sfu_ipml:sub_01,0
participant_5fold_v4,sfu_ipml,sfu_ipml:sub_02,1
participant_5fold_v4,sfu_ipml,sfu_ipml:sub_03,3
participant_5fold_v4,sfu_ipml,sfu_ipml:sub_04,4
participant_5fold_v4,sfu_ipml,sfu_ipml:sub_05,3
participant_5fold_v4,sfu_ipml,sfu_ipml:sub_06,0
participant_5fold_v4,sfu_ipml,sfu_ipml:sub_07,2
participant_5fold_v4,sfu_ipml,sfu_ipml:sub_08,1
participant_5fold_v4,sfu_ipml,sfu_ipml:sub_09,2
participant_5fold_v4,sfu_ipml,sfu_ipml:sub_10,4
participant_5fold_v4,sisfall,sisfall:sa01,4
participant_5fold_v4,sisfall,sisfall:sa02,4
participant_5fold_v4,sisfall,sisfall:sa03,4
participant_5fold_v4,sisfall,sisfall:sa04,3
participant_5fold_v4,sisfall,sisfall:sa05,3
participant_5fold_v4,sisfall,sisfall:sa06,2
participant_5fold_v4,sisfall,sisfall:sa07,0
participant_5fold_v4,sisfall,sisfall:sa08,2
participant_5fold_v4,sisfall,sisfall:sa09,4
participant_5fold_v4,sisfall,sisfall:sa10,2
participant_5fold_v4,sisfall,sisfall:sa11,3
participant_5fold_v4,sisfall,sisfall:sa12,1
participant_5fold_v4,sisfall,sisfall:sa13,1
participant_5fold_v4,sisfall,sisfall:sa14,1
participant_5fold_v4,sisfall,sisfall:sa15,2
participant_5fold_v4,sisfall,sisfall:sa16,4
participant_5fold_v4,sisfall,sisfall:sa17,3
participant_5fold_v4,sisfall,sisfall:sa18,0
participant_5fold_v4,sisfall,sisfall:sa19,1
participant_5fold_v4,sisfall,sisfall:sa20,0
participant_5fold_v4,sisfall,sisfall:sa21,2
participant_5fold_v4,sisfall,sisfall:sa22,0
participant_5fold_v4,sisfall,sisfall:sa23,3
participant_5fold_v4,sisfall,sisfall:se01,4
participant_5fold_v4,sisfall,sisfall:se02,0
participant_5fold_v4,sisfall,sisfall:se03,3
participant_5fold_v4,sisfall,sisfall:se04,3
participant_5fold_v4,sisfall,sisfall:se05,1
participant_5fold_v4,sisfall,sisfall:se06,0
participant_5fold_v4,sisfall,sisfall:se07,0
participant_5fold_v4,sisfall,sisfall:se08,2
participant_5fold_v4,sisfall,sisfall:se09,3
participant_5fold_v4,sisfall,sisfall:se10,0
participant_5fold_v4,sisfall,sisfall:se11,1
participant_5fold_v4,sisfall,sisfall:se12,1
participant_5fold_v4,sisfall,sisfall:se13,4
participant_5fold_v4,sisfall,sisfall:se14,2
participant_5fold_v4,sisfall,sisfall:se15,4
participant_5fold_v4,uci_455,uci_455:101,2
participant_5fold_v4,uci_455,uci_455:102,3
participant_5fold_v4,uci_455,uci_455:103,3
participant_5fold_v4,uci_455,uci_455:104,4
participant_5fold_v4,uci_455,uci_455:105,3
participant_5fold_v4,uci_455,uci_455:106,0
participant_5fold_v4,uci_455,uci_455:107,1
participant_5fold_v4,uci_455,uci_455:108,0
participant_5fold_v4,uci_455,uci_455:109,2
participant_5fold_v4,uci_455,uci_455:110,2
participant_5fold_v4,uci_455,uci_455:203,4
participant_5fold_v4,uci_455,uci_455:204,4
participant_5fold_v4,uci_455,uci_455:205,1
participant_5fold_v4,uci_455,uci_455:206,3
participant_5fold_v4,uci_455,uci_455:207,4
participant_5fold_v4,uci_455,uci_455:208,0
participant_5fold_v4,uci_455,uci_455:209,1
participant_5fold_v4,umafall,umafall:subject_01,2
