split_version,dataset_id,participant_id,fold_id
participant_5fold_v2,cgu_bes,cgu_bes:subject_01,0
participant_5fold_v2,cgu_bes,cgu_bes:subject_02,0
participant_5fold_v2,cgu_bes,cgu_bes:subject_03,0
participant_5fold_v2,cgu_bes,cgu_bes:subject_04,1
participant_5fold_v2,cgu_bes,cgu_bes:subject_05,1
participant_5fold_v2,cgu_bes,cgu_bes:subject_06,1
participant_5fold_v2,cgu_bes,cgu_bes:subject_07,2
participant_5fold_v2,cgu_bes,cgu_bes:subject_08,2
participant_5fold_v2,cgu_bes,cgu_bes:subject_09,2
participant_5fold_v2,cgu_bes,cgu_bes:subject_10,3
participant_5fold_v2,cgu_bes,cgu_bes:subject_11,3
participant_5fold_v2,cgu_bes,cgu_bes:subject_12,3
participant_5fold_v2,cgu_bes,cgu_bes:subject_13,4
participant_5fold_v2,cgu_bes,cgu_bes:subject_14,4
participant_5fold_v2,cgu_bes,cgu_bes:subject_15,4
participant_5fold_v2,sisfall,sisfall:sa01,4
participant_5fold_v2,sisfall,sisfall:sa02,4
participant_5fold_v2,sisfall,sisfall:sa03,4
participant_5fold_v2,sisfall,sisfall:sa04,3
participant_5fold_v2,sisfall,sisfall:sa05,3
participant_5fold_v2,sisfall,sisfall:sa06,2
participant_5fold_v2,sisfall,sisfall:sa07,0
participant_5fold_v2,sisfall,sisfall:sa08,2
participant_5fold_v2,sisfall,sisfall:sa09,4
participant_5fold_v2,sisfall,sisfall:sa10,2
participant_5fold_v2,sisfall,sisfall:sa11,3
participant_5fold_v2,sisfall,sisfall:sa12,1
participant_5fold_v2,sisfall,sisfall:sa13,1
participant_5fold_v2,sisfall,sisfall:sa14,1
participant_5fold_v2,sisfall,sisfall:sa15,2
participant_5fold_v2,sisfall,sisfall:sa16,4
participant_5fold_v2,sisfall,sisfall:sa17,3
participant_5fold_v2,sisfall,sisfall:sa18,0
participant_5fold_v2,sisfall,sisfall:sa19,1
participant_5fold_v2,sisfall,sisfall:sa20,0
participant_5fold_v2,sisfall,sisfall:sa21,2
participant_5fold_v2,sisfall,sisfall:sa22,0
participant_5fold_v2,sisfall,sisfall:sa23,3
participant_5fold_v2,sisfall,sisfall:se01,4
participant_5fold_v2,sisfall,sisfall:se02,0
participant_5fold_v2,sisfall,sisfall:se03,3
participant_5fold_v2,sisfall,sisfall:se04,3
participant_5fold_v2,sisfall,sisfall:se05,1
participant_5fold_v2,sisfall,sisfall:se06,0
participant_5fold_v2,sisfall,sisfall:se07,0
participant_5fold_v2,sisfall,sisfall:se08,2
participant_5fold_v2,sisfall,sisfall:se09,3
participant_5fold_v2,sisfall,sisfall:se10,0
participant_5fold_v2,sisfall,sisfall:se11,1
participant_5fold_v2,sisfall,sisfall:se12,1
participant_5fold_v2,sisfall,sisfall:se13,4
participant_5fold_v2,sisfall,sisfall:se14,2
participant_5fold_v2,sisfall,sisfall:se15,4
participant_5fold_v2,uci_455,uci_455:101,2
participant_5fold_v2,uci_455,uci_455:102,3
participant_5fold_v2,uci_455,uci_455:103,3
participant_5fold_v2,uci_455,uci_455:104,4
participant_5fold_v2,uci_455,uci_455:105,3
participant_5fold_v2,uci_455,uci_455:106,0
participant_5fold_v2,uci_455,uci_455:107,1
participant_5fold_v2,uci_455,uci_455:108,0
participant_5fold_v2,uci_455,uci_455:109,2
participant_5fold_v2,uci_455,uci_455:110,2
participant_5fold_v2,uci_455,uci_455:203,4
participant_5fold_v2,uci_455,uci_455:204,4
participant_5fold_v2,uci_455,uci_455:205,1
participant_5fold_v2,uci_455,uci_455:206,3
participant_5fold_v2,uci_455,uci_455:207,4
participant_5fold_v2,uci_455,uci_455:208,0
participant_5fold_v2,uci_455,uci_455:209,1
participant_5fold_v2,umafall,umafall:subject_01,2
participant_5fold_v2,umafall,umafall:subject_02,3
participant_5fold_v2,umafall,umafall:subject_03,1
participant_5fold_v2,umafall,umafall:subject_04,3
participant_5fold_v2,umafall,umafall:subject_05,1
participant_5fold_v2,umafall,umafall:subject_06,2
participant_5fold_v2,umafall,umafall:subject_07,0
participant_5fold_v2,umafall,umafall:subject_08,4
participant_5fold_v2,umafall,umafall:subject_09,2
participant_5fold_v2,umafall,umafall:subject_10,4
participant_5fold_v2,umafall,umafall:subject_11,2
participant_5fold_v2,umafall,umafall:subject_12,1
participant_5fold_v2,umafall,umafall:subject_13,3
participant_5fold_v2,umafall,umafall:subject_14,0
participant_5fold_v2,umafall,umafall:subject_15,0
participant_5fold_v2,umafall,umafall:subject_16,0
participant_5fold_v2,umafall,umafall:subject_17,1
participant_5fold_v2,umafall,umafall:subject_18,4
participant_5fold_v2,umafall,umafall:subject_19,3
participant_5fold_v2,upfall,upfall:subject01,3
participant_5fold_v2,upfall,upfall:subject02,3
participant_5fold_v2,upfall,upfall:subject03,2
participant_5fold_v2,upfall,upfall:subject04,0
participant_5fold_v2,upfall,upfall:subject05,4
participant_5fold_v2,upfall,upfall:subject06,0
participant_5fold_v2,upfall,upfall:subject07,0
participant_5fold_v2,upfall,upfall:subject08,1
participant_5fold_v2,upfall,upfall:subject09,4
participant_5fold_v2,upfall,upfall:subject10,3
participant_5fold_v2,upfall,upfall:subject11,2
participant_5fold_v2,upfall,upfall:subject12,1
participant_5fold_v2,upfall,upfall:subject13,2
participant_5fold_v2,upfall,upfall:subject14,1
participant_5fold_v2,upfall,upfall:subject15,0
participant_5fold_v2,upfall,upfall:subject16,4
participant_5fold_v2,upfall,upfall:subject17,1
